wordleID,g1,g2,g3,g4,g5,g6,gX,g1_3,g6_x,date,results,hardmode,answer,answerOrig,nytChange,zipf,doubleLetter,close,letterfreqMax,letterfreqMed,letterfreqMin,scrabbleScore,results_seas,results_trend,results_rand
202,0.01,0.03,0.23,0.39,0.24,0.09,0.01,0.27,0.1,2022-01-07,80630,1362,SLUMP,SLUMP,"",3.36,FALSE,1,6.2,2.7,1.9,9,0.989059007965639,,
203,0.01,0.05,0.23,0.31,0.24,0.14,0.02,0.29,0.16,2022-01-08,101503,1763,CRANK,CRANK,"",3.61,FALSE,3,8.2,5.9,0.78,11,0.97880853710661,,
204,0.01,0.03,0.13,0.27,0.3,0.22,0.04,0.17,0.26,2022-01-09,91477,1913,GORGE,GORGE,"",3.4,TRUE,2,13,5.9,2,7,0.972068384982544,,
205,0.01,0.04,0.16,0.3,0.3,0.17,0.02,0.21,0.19,2022-01-10,107134,2242,QUERY,QUERY,"",3.64,FALSE,0,13,2.7,0.096,17,0.948930544141271,114990.857142857,-0.018185180428401
206,0.0099009900990099,0.0891089108910891,0.346534653465347,0.336633663366337,0.158415841584158,0.0495049504950495,0.0099009900990099,0.445544554455446,0.0594059405940594,2022-01-11,153880,3017,DRINK,DRINK,"",4.9,FALSE,2,6.9,5.9,0.78,10,1.04073508887611,127684.285714286,0.157989253617355
207,0.01,0.04,0.15,0.26,0.29,0.21,0.04,0.2,0.25,2022-01-12,137586,3073,FAVOR,FAVOR,"",4.58,FALSE,0,8.2,5.9,0.97,11,1.03936128091728,142595.285714286,-0.0716696633411247
208,0.0101010101010101,0.0202020202020202,0.131313131313131,0.292929292929293,0.313131313131313,0.202020202020202,0.0303030303030303,0.161616161616162,0.232323232323232,2022-01-13,132726,3345,ABBEY,ABBEY,"",3.88,TRUE,0,13,2,1.5,12,1.03103715601055,159471.285714286,-0.192766467877893
209,0.01,0.04,0.21,0.3,0.24,0.15,0.05,0.26,0.2,2022-01-14,169484,3985,TANGY,TANGY,"",2.64,FALSE,1,9.6,6.7,2,9,0.989059007965639,175908.857142857,-0.0258657895959903
210,0.0099009900990099,0.0891089108910891,0.346534653465347,0.336633663366337,0.158415841584158,0.0495049504950495,0.0099009900990099,0.445544554455446,0.0594059405940594,2022-01-15,205880,4655,PANIC,PANIC,"",4.26,FALSE,1,8.2,6.7,1.9,9,0.97880853710661,185490.285714286,0.133953486948115
211,0.01,0.09,0.32,0.32,0.18,0.07,0.01,0.42,0.08,2022-01-16,209609,4955,SOLAR,SOLAR,"",4.53,FALSE,1,8.2,6.2,4.1,5,0.972068384982544,205924,0.0471433566413102
212,0.0099009900990099,0.0792079207920792,0.316831683168317,0.316831683168317,0.178217821782178,0.0792079207920792,0.0198019801980198,0.405940594059406,0.099009900990099,2022-01-17,222197,5640,SHIRE,SHIRE,"",3.47,FALSE,2,13,6.2,5.9,8,0.948930544141271,221815.142857143,0.0556320658969198
213,0.0099009900990099,0.0198019801980198,0.108910891089109,0.237623762376238,0.306930693069307,0.257425742574257,0.0594059405940594,0.138613861386139,0.316831683168317,2022-01-18,220950,6206,PROXY,PROXY,"",3.73,FALSE,0,7.8,2,0.15,17,1.04073508887611,236707,-0.103102719083323
214,0.0101010101010101,0.161616161616162,0.373737373737374,0.282828282828283,0.121212121212121,0.0404040404040404,0.0101010101010101,0.545454545454546,0.0505050505050505,2022-01-19,280622,7094,POINT,POINT,"",5.54,FALSE,2,9.6,6.9,1.9,7,1.03936128091728,241794,0.116630951045747
215,0.0099009900990099,0.0792079207920792,0.287128712871287,0.336633663366337,0.198019801980198,0.0792079207920792,0.0099009900990099,0.376237623762376,0.0891089108910891,2022-01-20,243964,6589,ROBOT,ROBOT,"",4.24,TRUE,0,9.6,7.8,1.5,7,1.03103715601055,250411.142857143,-0.0550740442223469
216,0.0101010101010101,0.0808080808080808,0.303030303030303,0.333333333333333,0.191919191919192,0.0707070707070707,0.0101010101010101,0.393939393939394,0.0808080808080808,2022-01-21,273727,7409,PRICK,PRICK,"",3.6,FALSE,2,6.9,2.7,0.78,13,0.989059007965639,255531.285714286,0.0830571027419031
217,0.0099009900990099,0.0297029702970297,0.168316831683168,0.326732673267327,0.287128712871287,0.148514851485149,0.0297029702970297,0.207920792079208,0.178217821782178,2022-01-22,241489,6850,WINCE,WINCE,"",2.61,FALSE,3,13,6.7,2.4,10,0.97880853710661,263453.285714286,-0.0635254373457611
218,0.01,0.05,0.28,0.38,0.2,0.07,0.01,0.34,0.08,2022-01-23,269929,7630,CRIMP,CRIMP,"",2.61,FALSE,1,6.9,2.7,1.9,11,0.972068384982544,266557,0.0417479037896293
219,0.01,0.01,0.11,0.29,0.33,0.21,0.04,0.13,0.25,2022-01-24,258038,8317,KNOLL,KNOLL,"",2.9,TRUE,0,7.8,4.1,0.78,9,0.948930544141271,279111.285714286,-0.0257467933853116
220,0.0101010101010101,0.0606060606060606,0.252525252525253,0.343434343434343,0.232323232323232,0.0909090909090909,0.0101010101010101,0.323232323232323,0.101010101010101,2022-01-25,276404,8708,SUGAR,SUGAR,"",4.68,FALSE,0,8.2,5.9,2,6,1.04073508887611,282431.428571429,-0.0596465902306492
221,0.01,0.04,0.22,0.37,0.24,0.1,0.02,0.27,0.12,2022-01-26,302348,10163,WHACK,WHACK,"",3.43,FALSE,1,8.2,2.7,0.78,17,1.03936128091728,292678.714285714,-0.00608458227489628
222,0.0101010101010101,0.0909090909090909,0.292929292929293,0.333333333333333,0.191919191919192,0.0707070707070707,0.0101010101010101,0.393939393939394,0.0808080808080808,2022-01-27,331844,11451,MOUNT,MOUNT,"",4.47,FALSE,1,9.6,6.7,2.5,7,1.03103715601055,296215.571428571,0.0865551347052533
223,0.01,0.04,0.17,0.3,0.27,0.17,0.04,0.22,0.21,2022-01-28,296968,11148,PERKY,PERKY,"",2.95,FALSE,2,13,2,0.78,14,0.989059007965639,308112.142857143,-0.0255071948038279
224,0.0099009900990099,0.0693069306930693,0.287128712871287,0.346534653465347,0.198019801980198,0.0792079207920792,0.0099009900990099,0.366336633663366,0.0891089108910891,2022-01-29,313220,11592,COULD,COULD,"",6.06,FALSE,3,7.8,4.1,2.7,8,0.97880853710661,318863.428571429,0.00356850898459471
225,0,0.02,0.18,0.39,0.27,0.12,0.02,0.2,0.14,2022-01-30,294687,11524,WRUNG,WRUNG,"",2.36,FALSE,1,6.7,2.7,2,9,0.972068384982544,327372,-0.0739751795865989
226,0.0101010101010101,0.101010101010101,0.252525252525253,0.272727272727273,0.191919191919192,0.121212121212121,0.0505050505050505,0.363636363636364,0.171717171717172,2022-01-31,341314,13347,LIGHT,LIGHT,"",5.33,FALSE,8,9.6,6.2,2,9,0.948930544141271,331133.714285714,0.0862162009571357
227,0.01,0.13,0.34,0.3,0.15,0.06,0.01,0.48,0.07,2022-02-01,351663,13606,THOSE,THOSE,"",5.9,FALSE,2,13,7.8,6.2,8,1.04073508887611,340092.428571429,-0.00645048418775818
228,0.0297029702970297,0.128712871287129,0.316831683168317,0.287128712871287,0.158415841584158,0.0693069306930693,0.0099009900990099,0.475247524752475,0.0792079207920792,2022-02-02,361908,14205,MOIST,MOIST,"",3.69,FALSE,1,9.6,6.9,2.5,7,1.03936128091728,341017.857142857,0.0210676764473121
229,0.0099009900990099,0.0693069306930693,0.217821782178218,0.277227722772277,0.247524752475248,0.138613861386139,0.0396039603960396,0.297029702970297,0.178217821782178,2022-02-03,358176,14609,SHARD,SHARD,"",3,FALSE,3,8.2,6.2,4.4,9,1.03103715601055,343350.857142857,0.0117751992275095
230,0.01,0.1,0.28,0.31,0.19,0.09,0.02,0.39,0.11,2022-02-04,359679,14813,PLEAT,PLEAT,"",2.19,FALSE,2,13,8.2,1.9,7,0.989059007965639,335767.142857143,0.0830654058201268
231,0.0099009900990099,0.0396039603960396,0.217821782178218,0.356435643564356,0.247524752475248,0.108910891089109,0.0198019801980198,0.267326732673267,0.128712871287129,2022-02-05,319698,13708,ALOFT,ALOFT,"",3.08,FALSE,0,9.6,7.8,2.2,8,0.97880853710661,333563.285714286,-0.0208168585170669
232,0.01,0.03,0.17,0.33,0.27,0.16,0.03,0.21,0.19,2022-02-06,311018,13716,SKILL,SKILL,"",4.42,TRUE,2,6.9,4.1,0.78,9,0.972068384982544,325486.714285714,-0.0169956504710103
233,0.01,0.03,0.13,0.24,0.3,0.24,0.05,0.17,0.29,2022-02-07,288228,13340,ELDER,ELDER,"",4.06,TRUE,1,13,5.9,4.1,6,0.948930544141271,317865.857142857,-0.0444402225055374
234,0.0101010101010101,0.101010101010101,0.202020202020202,0.242424242424242,0.242424242424242,0.171717171717172,0.0303030303030303,0.313131313131313,0.202020202020202,2022-02-08,336236,15369,FRAME,FRAME,"",4.58,FALSE,1,13,5.9,2.2,10,1.04073508887611,306315.428571429,0.0547150454055811
235,0.01,0.05,0.22,0.34,0.25,0.11,0.02,0.28,0.13,2022-02-09,305372,13846,HUMOR,HUMOR,"",4.19,FALSE,2,7.8,5.9,2.5,10,1.03936128091728,299199.285714286,-0.0180211659260182
236,0.01,0.08,0.26,0.32,0.21,0.1,0.02,0.35,0.12,2022-02-10,304830,13480,PAUSE,PAUSE,"",4,FALSE,1,13,6.2,1.9,7,1.03103715601055,294406.857142857,0.00423526595972268
237,0.01,0.04,0.18,0.3,0.28,0.16,0.03,0.23,0.19,2022-02-11,278826,10631,ULCER,ULCER,"",3.03,FALSE,0,13,4.1,2.7,7,0.989059007965639,290591.571428571,-0.0298742051344321
238,0.01,0.07,0.23,0.34,0.24,0.1,0.01,0.31,0.11,2022-02-12,269885,9310,ULTRA,ULTRA,"",4.23,FALSE,0,9.6,5.9,2.7,5,0.97880853710661,283677.285714286,-0.028021997913911
239,0.01,0.06,0.29,0.34,0.21,0.08,0.01,0.36,0.09,2022-02-13,277471,9249,ROBIN,ROBIN,"",4.33,FALSE,1,7.8,6.7,1.5,7,0.972068384982544,281441.428571429,0.0142213633399195
240,0.0099009900990099,0.0198019801980198,0.108910891089109,0.326732673267327,0.336633663366337,0.168316831683168,0.0297029702970297,0.138613861386139,0.198019801980198,2022-02-14,261521,10030,CYNIC,CYNIC,"",2.81,TRUE,0,6.9,2.7,2,12,0.948930544141271,286751.857142857,-0.0389059180789059
241,0.01,0.06,0.25,0.33,0.22,0.11,0.02,0.32,0.13,2022-02-15,287836,10343,AROMA,AGORA,deleted,3.23,TRUE,0,8.2,7.8,2.5,7,1.04073508887611,284810.714285714,-0.0289343530653071
242,0.01,0.04,0.2,0.31,0.26,0.15,0.03,0.25,0.18,2022-02-16,289721,10740,CAULK,AROMA,"",2.29,FALSE,0,8.2,2.7,0.78,11,1.03936128091728,286588.142857143,-0.0273530634951212
243,0.01,0.06,0.16,0.23,0.24,0.21,0.09,0.23,0.3,2022-02-17,342003,12767,SHAKE,CAULK,"",4.33,FALSE,7,13,6.2,0.78,12,1.03103715601055,285993.142857143,0.159845064663653
244,0.0099009900990099,0.0297029702970297,0.148514851485149,0.287128712871287,0.267326732673267,0.188118811881188,0.0693069306930693,0.188118811881188,0.257425742574257,2022-02-18,265238,10220,DODGE,SHAKE,"",3.93,TRUE,2,13,4.4,2,8,0.989059007965639,288451.714285714,-0.0703051665718802
245,0.01,0.01,0.08,0.19,0.31,0.3,0.1,0.1,0.4,2022-02-19,282327,11241,SWILL,PUPAL,deleted,2.32,TRUE,3,6.9,4.1,2.4,8,0.97880853710661,291526,-0.0105875497000719
246,0.0099009900990099,0.0396039603960396,0.207920792079208,0.316831683168317,0.257425742574257,0.138613861386139,0.0297029702970297,0.257425742574257,0.168316831683168,2022-02-20,273306,11094,TACIT,DODGE,"",2.94,TRUE,0,9.6,8.2,2.7,7,0.972068384982544,,
247,0.0101010101010101,0.0909090909090909,0.262626262626263,0.303030303030303,0.212121212121212,0.101010101010101,0.0202020202020202,0.363636363636364,0.121212121212121,2022-02-21,278731,10887,OTHER,SWILL,"",6.16,FALSE,1,13,7.8,5.9,8,0.948930544141271,,
248,0.0101010101010101,0.141414141414141,0.383838383838384,0.303030303030303,0.121212121212121,0.0404040404040404,0,0.535353535353536,0.0404040404040404,2022-02-22,309356,11814,THORN,TACIT,"",3.48,FALSE,0,9.6,6.7,5.9,8,1.04073508887611,,
